区域号	区域类型	X坐标	Y坐标	Z坐标	线段类型	圆心X	圆心Y	圆心Z	节点	节点X坐标	节点Y坐标	节点Z坐标	楼层
D001	1	0	0	10400	1	0	0	0	0	0	0	0	3
0	0	25200	0	10400	1	0	0	0	0	0	0	0	0
0	0	25200	53800	10400	1	0	0	0	0	0	0	0	0
0	0	20700	53800	10400	1	0	0	0	0	0	0	0	0
0	0	20700	61600	10400	1	0	0	0	0	0	0	0	0
0	0	45200	61600	10400	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
D002	1	11700	117600	10400	1	0	0	0	0	0	0	0	3
0	0	25200	117600	10400	1	0	0	0	0	0	0	0	0
0	0	25200	115000	10400	1	0	0	0	0	0	0	0	0
0	0	45200	115000	10400	1	0	0	0	0	0	0	0	0
0	0	45200	117600	10400	1	0	0	0	0	0	0	0	0
0	0	54500	117600	10400	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
D003	1	20700	67200	10400	1	0	0	0	0	0	0	0	3
0	0	45200	67200	10400	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
D004	1	19000	112000	10400	1	0	0	0	0	0	0	0	3
0	0	45200	112000	10400	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
C001	1	45200	39336	10400	1	0	0	0	0	0	0	0	3
0	0	45200	34117	10400	1	0	0	0	0	0	0	0	0
0	0	51800	35669	10400	1	0	0	0	0	0	0	0	0
0	0	54500	36304	10400	1	0	0	0	0	0	0	0	0
0	0	61100	37856	10400	1	0	0	0	0	0	0	0	0
0	0	61100	44800	10400	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
C002	1	61100	61600	10400	1	0	0	0	0	0	0	0	3
0	0	82000	61600	10400	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
C003	1	61100	67200	10400	1	0	0	0	0	0	0	0	3
0	0	64590	67200	10400	3	0	0	0	0	0	0	0	0
0	0	66090	67200	10400	1	0	0	0	0	0	0	0	0
0	0	79770	67200	10400	3	0	0	0	0	0	0	0	0
0	0	81270	67200	10400	1	0	0	0	0	0	0	0	0
0	0	82000	67200	10400	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B001	1	88600	43303	10400	1	0	0	0	0	0	0	0	3
0	0	91300	44028	10400	1	0	0	0	0	0	0	0	0
0	0	97900	45798	10400	1	0	0	0	0	0	0	0	0
0	0	97900	54000	10400	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B002	1	97900	61600	10400	1	0	0	0	0	0	0	0	3
0	0	97900	62700	10400	1	0	0	0	0	0	0	0	0
0	0	102382	63768	10400	1	0	0	0	0	0	0	0	0
0	0	109013	65572	10400	1	0	0	0	0	0	0	0	0
0	0	112884	66795	10400	1	0	0	0	0	0	0	0	0
0	0	116754	68017	10400	1	0	0	0	0	0	0	0	0
0	0	120651	69446	10400	1	0	0	0	0	0	0	0	0
